"14908","28347","Standard","A10B","2022-01-01 03:29:04",NULL,"109900","A","10","B"
"14908","28362","Standard","A11C","2022-01-01 04:40:11",NULL,"109900","A","11","C"
"14908","26652","Standard","A6B","2022-01-01 03:49:09",NULL,"110090","A","6","B"
"14908","26657","Standard","A6B","2022-01-01 03:49:07",NULL,"110090","A","6","B"
"14908","28249","Standard","A1B","2022-01-01 04:18:11",NULL,"110090","A","1","B"
"14908","28337","Standard","A9B","2022-01-01 03:30:36",NULL,"110090","A","9","B"
"14908","34761","Standard","A4C","2022-01-01 03:58:26",NULL,"110233","A","4","C"
"14908","26691","Standard","A8B","2022-01-01 03:41:04",NULL,"110277","A","8","B"
"14908","26626","Standard","A3C","2022-01-01 04:10:21",NULL,"110558","A","3","C"
"14908","27989","Standard","A10A","2022-01-01 03:29:23",NULL,"110558","A","10","A"
"14908","10945","Standard","A10A","2022-01-01 03:29:27",NULL,"110662","A","10","A"
"14908","26641","Standard","A2A","2022-01-01 04:15:03",NULL,"110771","A","2","A"
"14908","30991","Standard","A5C","2022-01-01 03:56:20",NULL,"110771","A","5","C"
"14908","26714","Standard","A9A","2022-01-01 03:36:26",NULL,"111839","A","9","A"
"14908","10950","Standard","A10A","2022-01-01 03:29:30",NULL,"112398","A","10","A"
"14908","28242","Standard","A2B","2022-01-01 04:12:45",NULL,"112413","A","2","B"
"14908","27972","Standard","A9A","2022-01-01 03:36:24",NULL,"112575","A","9","A"
"14908","30907","Standard","A2C","2022-01-01 04:10:52",NULL,"112575","A","2","C"
"14908","34695","Standard","A1A","2022-01-01 04:20:25",NULL,"112723","A","1","A"
"14908","34766","Standard","A4C","2022-01-01 03:58:22",NULL,"112723","A","4","C"
"14908","28280","Standard","A4B","2022-01-01 03:59:15",NULL,"112902","A","4","B"
"14908","10951","Standard","A8C","2022-01-01 03:42:15",NULL,"112913","A","8","C"
"14908","26710","Standard","A10B","2022-01-01 03:28:59",NULL,"113039","A","10","B"
"14908","30920","Standard","A1B","2022-01-01 04:18:04",NULL,"113039","A","1","B"
"14908","28346","Standard","A10B","2022-01-01 03:28:53",NULL,"113276","A","10","B"
"14908","34756","Standard","A6C","2022-01-01 03:48:34",NULL,"113396","A","6","C"
"14908","34800","Standard","A8B","2022-01-01 03:41:10",NULL,"113396","A","8","B"
"14908","28296","Standard","A5B","2022-01-01 03:53:34",NULL,"113413","A","5","B"
"14908","28375","Standard","A1A","2022-01-01 04:20:31",NULL,"113413","A","1","A"
"14908","30909","Standard","A2B","2022-01-01 04:14:28",NULL,"113413","A","2","B"
"14908","10957","Standard","A11C","2022-01-01 04:40:12",NULL,"113419","A","11","C"
"14908","26658","Standard","A5B","2022-01-01 03:55:32",NULL,"113419","A","5","B"
"14908","28365","Standard","A12B","2022-01-01 03:25:13",NULL,"113419","A","12","B"
"14908","30933","Standard","A1B","2022-01-01 04:18:03",NULL,"113419","A","1","B"
"14908","30968","Standard","A3B","2022-01-01 04:09:46",NULL,"113419","A","3","B"
"14908","41006","Standard","A12B","2022-01-01 03:25:11",NULL,"113419","A","12","B"
"14908","10959","Standard","A11B","2022-01-01 04:38:04",NULL,"113507","A","11","B"
"14908","26633","Standard","A2A","2022-01-01 04:15:12",NULL,"113507","A","2","A"
"14908","26716","Standard","A10C","2022-01-01 03:28:23",NULL,"113507","A","10","C"
"14908","28293","Standard","A6B","2022-01-01 03:49:21",NULL,"113507","A","6","B"
"14908","26687","Standard","A6C","2022-01-01 03:48:27",NULL,"113713","A","6","C"
"14908","30994","Standard","A5B","2022-01-01 03:55:52",NULL,"113713","A","5","B"
"14908","34753","Standard","A6B","2022-01-01 03:51:23",NULL,"113713","A","6","B"
